1.435,   1.435,    1.435,     1.435,      1.435,      1.435,
1.435,   1.435,    1.435,     1.435,      1.435,      1.435,
1.481,   1.481,    1.481,     1.481,      1.481,      1.481,
1.443,   1.443,    1.443,     1.443,      1.443,      1.443,
1.458,   1.458,    1.458,     1.458,      1.458,      1.458,
1.588,   1.588,    1.588,     1.588,      1.588,      1.588,
1.481,   1.481,    1.481,     1.481,      1.481,      1.481,
1.450,   1.450,    1.450,     1.450,      1.450,      1.450,
1.511,   1.511,    1.511,     1.511,      1.511,      1.511,
1.634,   1.634,    1.634,     1.634,      1.634,      1.634,
1.214,   1.214,    1.214,     1.214,      1.214,      1.214,
1.466,   1.466,    1.466,     1.466,      1.466,      1.466,
1.405,   1.405,    1.405,     1.405,      1.405,      1.405,
1.366,   1.366,    1.366,     1.366,      1.366,      1.366,
1.336,   1.336,    1.336,     1.336,      1.336,      1.336,
1.603,   1.603,    1.603,     1.603,      1.603,      1.603,
1.481,   1.481,    1.481,     1.481,      1.481,      1.481,
1.611,   1.611,    1.611,     1.611,      1.611,      1.611,
1.565,   1.565,    1.565,     1.565,      1.565,      1.565,
1.450,   1.450,    1.450,     1.450,      1.450,      1.450,
1.473,   1.473,    1.473,     1.473,      1.473,      1.473,
1.275,   1.275,    1.275,     1.275,      1.275,      1.275,
1.420,   1.420,    1.420,     1.420,      1.420,      1.420,
1.382,   1.382,    1.382,     1.382,      1.382,      1.382,
1.450,   1.450,    1.450,     1.450,      1.450,      1.450,
1.206,   1.206,    1.206,     1.206,      1.206,      1.206,
1.420,   1.420,    1.420,     1.420,      1.420,      1.420,
1.511,   1.511,    1.511,     1.511,      1.511,      1.511,
1.389,   1.389,    1.389,     1.389,      1.389,      1.389,
1.435,   1.435,    1.435,     1.435,      1.435,      1.435,
1.672,   1.672,    1.672,     1.672,      1.672,      1.672,
1.489,   1.489,    1.489,     1.489,      1.489,      1.489,
1.412,   1.412,    1.412,     1.412,      1.412,      1.412,
1.412,   1.412,    1.412,     1.412,      1.412,      1.412,
1.313,   1.313,    1.313,     1.313,      1.313,      1.313,
1.389,   1.389,    1.389,     1.389,      1.389,      1.389,
1.588,   1.588,    1.588,     1.588,      1.588,      1.588,
1.489,   1.489,    1.489,     1.489,      1.489,      1.489,
1.466,   1.466,    1.466,     1.466,      1.466,      1.466,
1.641,   1.641,    1.641,     1.641,      1.641,      1.641,
1.389,   1.389,    1.389,     1.389,      1.389,      1.389,
1.359,   1.359,    1.359,     1.359,      1.359,      1.359,
1.435,   1.435,    1.435,     1.435,      1.435,      1.435,
1.473,   1.473,    1.473,     1.473,      1.473,      1.473,
1.511,   1.511,    1.511,     1.511,      1.511,      1.511,
1.305,   1.305,    1.305,     1.305,      1.305,      1.305,
1.412,   1.412,    1.412,     1.412,      1.412,      1.412,
1.344,   1.344,    1.344,     1.344,      1.344,      1.344,
1.466,   1.466,    1.466,     1.466,      1.466,      1.466,
1.328,   1.328,    1.328,     1.328,      1.328,      1.328,
1.366,   1.366,    1.366,     1.366,      1.366,      1.366,
1.481,   1.481,    1.481,     1.481,      1.481,      1.481,
